gold\pred,心血瘀阻,正虚毒瘀,正虚瘀结,气滞血瘀,气虚血瘀,气血亏虚,气阴两虚,湿热下注,湿热瘀阻,湿热蕴结,湿热阻络,热毒蕴结,痰浊瘀阻,痰浊蒙窍,痰湿中阻,痰湿蒙窍,痰湿蕴肺,痰瘀互结,痰瘀痹阻,瘀血阻络,肝经湿热,肝肾不足,肝肾亏虚,肝肾阴虚,肝胃不和,肝胃郁热,肝阳上亢,肾虚,脾肾两虚,脾胃不和,脾胃虚寒,血热,血瘀痰凝,阳虚水泛,阴虚火旺,阴虚血瘀,阴虚阳亢,风寒外袭,风寒袭肺,风痰上扰,风痰入络,风痰阻络
痰湿蒙窍,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰湿蕴肺,0,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,97,0,0,0
痰瘀互结,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,0,1,0,3,0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,5,3,0,0
痰瘀痹阻,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
瘀血阻络,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,13,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肝经湿热,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肝肾不足,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,34,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
肝肾亏虚,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,7,0,11,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肝肾阴虚,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2
肝胃不和,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,5,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0
肝胃郁热,0,0,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,3,1,0,1,0,0,0,7,124,0,0,0,40,11,0,0,0,8,9,0,0,0,0,0,0
肝阳上亢,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肾虚,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
脾肾两虚,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
脾胃不和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
脾胃虚寒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,38,0,0,0,0,0,0,0,0,0,0,0
血热,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
血瘀痰凝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
阳虚水泛,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,0,0,0,0,0,0
阴虚火旺,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0
阴虚血瘀,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1
阴虚阳亢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
风寒外袭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0
风寒袭肺,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
风痰上扰,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,4,2,3,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0
风痰入络,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,8,18
风痰阻络,0,0,0,0,7,10,0,0,0,0,0,0,2,33,1,4,0,16,6,50,0,0,0,2,0,0,136,0,1,0,0,0,0,0,0,0,0,2,0,10,2,67
